"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12245","Item Persistence in the Cart","Product Details and Add to Cart","2026-03-10","passed","2026-03-10","","","",""
"","10134","Login Attempt with Invalid Credentials","User Authentication","2026-03-10","passed","2026-03-10","","","",""
"","15357","Attempting to Add Zero or Negative Quantity","Product Details and Add to Cart","2026-03-10","passed","2026-03-10","","","",""
"","7952","Successful Login with Valid Credentials","User Authentication","2026-03-10","passed","2026-03-10","","","",""
"","6931","User logout successfully","User Authentication","2026-03-10","passed","2026-03-10","","","",""
"","6972","Login Attempt with Empty Fields","User Authentication","2026-03-10","passed","2026-03-10","","","",""
"","2957","Sorting by Price-Descending","Product Search Filters","2026-03-10","passed","2026-03-10","","","",""
"","5911","Adding Multiple Items to the Cart","Product Details and Add to Cart","2026-03-10","passed","2026-03-10","","","",""
"","2985","Sorting by Price-Ascending","Product Search Filters","2026-03-10","passed","2026-03-10","","","",""
"","3995","Sorting by Name-Ascending","Product Search Filters","2026-03-10","passed","2026-03-10","","","",""
"","3832","Sorting by Name-Descending","Product Search Filters","2026-03-10","passed","2026-03-10","","","",""
"","9117","Successfully add and remove a product from the cart","Shopping Cart Flow","2026-03-10","passed","2026-03-10","","","",""
